"song" "line" "artist"
"266" "God Damn the Sun" "And they found my letter rolled up in your pocket" "Swans"
"267" "God Damn the Sun" "Where I said I'd kill myself if she left me again" "Swans"
"268" "God Damn the Sun" "So now she's gone, and you're both in my mind" "Swans"
"269" "God Damn the Sun" "I've got one thing to say before I am drunk again" "Swans"
"270" "God Damn the Sun" "God damn the sun" "Swans"
"271" "God Damn the Sun" "God damn the sun" "Swans"
"272" "God Damn the Sun" "God damn anyone" "Swans"
"273" "God Damn the Sun" "That says a kind word" "Swans"
"274" "God Damn the Sun" "God damn the sun" "Swans"
"275" "God Damn the Sun" "God damn the sun" "Swans"
"276" "God Damn the Sun" "God damn the light it shines" "Swans"
"277" "God Damn the Sun" "And this world it shows" "Swans"
"278" "God Damn the Sun" "God damn the sun" "Swans"
"279" "Blind Love" "Hold onto my hand" "Swans"
"280" "Blind Love" "Hold onto my unborn hand" "Swans"
"281" "Blind Love" "Feel what I'll never be" "Swans"
"282" "Blind Love" "Need me badly" "Swans"
"283" "Blind Love" "Need what I have" "Swans"
"284" "Blind Love" "Need what I am" "Swans"
"285" "Blind Love" "I am a dead man" "Swans"
"286" "Blind Love" "Now I am a dead man" "Swans"
"287" "Blind Love" "I am selfish" "Swans"
"288" "Blind Love" "I am unborn" "Swans"
"289" "Blind Love" "I am unborn now" "Swans"
"290" "Blind Love" "I am unborn" "Swans"
"291" "Blind Love" "Need my love" "Swans"
"292" "Blind Love" "Need my fake love" "Swans"
"293" "Blind Love" "Hold onto my hand" "Swans"
"294" "Blind Love" "Hold onto my unborn hand" "Swans"
"295" "Blind Love" "Need what I make you become" "Swans"
"296" "Blind Love" "Blind love" "Swans"
"297" "Blind Love" "Blind love" "Swans"
"298" "Blind Love" "I am a dead man" "Swans"
"299" "Blind Love" "I am a cold dead man" "Swans"
"300" "Blind Love" "And I am unkind" "Swans"
"301" "Blind Love" "And I am unkind" "Swans"
"302" "Blind Love" "Feel my hand" "Swans"
"303" "Blind Love" "Feel my dead hand" "Swans"
"304" "Blind Love" "Need my love" "Swans"
"305" "Blind Love" "Need my blind love" "Swans"
"306" "Blind Love" "Love blind" "Swans"
"307" "Blind Love" "Blind love" "Swans"
"308" "Blind Love" "Feel good" "Swans"
"309" "Blind Love" "Feel good now" "Swans"
"310" "Blind Love" "Love" "Swans"
"311" "Blind Love" "Now" "Swans"
"312" "Blind" "Now some of us are weak" "Swans"
"313" "Blind" "And some endure" "Swans"
"314" "Blind" "And some people live their life" "Swans"
"315" "Blind" "In violence that’s pure and clean" "Swans"
"316" "Blind" "But I saw a man cry once" "Swans"
"317" "Blind" "Down on his knees" "Swans"
"318" "Blind" "In the corner of a darkened cell" "Swans"
"319" "Blind" "And his pain meant nothing to me" "Swans"
"320" "Blind" "But I was younger then" "Swans"
"321" "Blind" "And young men never die" "Swans"
"322" "Blind" "When I walked out in the sun" "Swans"
"323" "Blind" "I was strong, clear-minded and blind" "Swans"
"324" "Blind" "I don’t say a prayer for anyone" "Swans"
"325" "Blind" "It doesn’t do any good" "Swans"
"326" "Blind" "Please don’t ask me questions" "Swans"
"327" "Blind" "They’d just be misunderstood" "Swans"
"328" "Blind" "And if you could step inside me" "Swans"
"329" "Blind" "You'd feel what hatred brings" "Swans"
"330" "Blind" "And if you saw with my eyes" "Swans"
"331" "Blind" "You'd see what self-deception means" "Swans"
"332" "Blind" "I was younger once" "Swans"
"333" "Blind" "And I created a lie" "Swans"
"334" "Blind" "And though my body was strong" "Swans"
"335" "Blind" "I was self-deluded, confident and blind" "Swans"
"336" "Blind" "Now show some pity" "Swans"
"337" "Blind" "For the weak of will" "Swans"
"338" "Blind" "Because when we’re drinking" "Swans"
"339" "Blind" "We can never be filled" "Swans"
"340" "Blind" "Show some understanding" "Swans"
"341" "Blind" "For the lonely fool" "Swans"
"342" "Blind" "Because when I’m drinking" "Swans"
"343" "Blind" "I’m out of control" "Swans"
"344" "Blind" "I was never young" "Swans"
"345" "Blind" "Nothing has transpired" "Swans"
"346" "Blind" "But when I look in the mirror" "Swans"
"347" "Blind" "I feel dead, I feel cold, I am blind" "Swans"
